Ukazatel,Čtvrtletí,Šetření,"ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj",Hodnota,MJ_TEXT,MJ_SYMBOL
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Praha,Hlavní město Praha,61365.591947704,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Čechy,Středočeský kraj,47609.7963427693,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Jihočeský kraj,43317.5622497886,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Plzeňský kraj,45021.6891834915,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Karlovarský kraj,41576.7701481803,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Ústecký kraj,44081.9013980735,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Liberecký kraj,43384.7578907146,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Královéhradecký kraj,43811.186834385,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Pardubický kraj,42990.6840774308,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Kraj Vysočina,43521.3761782572,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Jihomoravský kraj,47002.679410957,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Olomoucký kraj,43144.7034992052,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Zlínský kraj,42364.0958933897,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,Moravskoslezský kraj,43003.1375118048,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,,,48860.058616377,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Praha,,62584.8245869619,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Čechy,,52005.1870836114,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,,44628.3813772816,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,,44022.69098054,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,,44624.1065021374,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,,46504.5210767409,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,,43183.5653788272,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,,43598.0596234063,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Praha,Hlavní město Praha,62584.8245869619,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Čechy,Středočeský kraj,52005.1870836114,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Jihočeský kraj,43928.7546735223,koruna česká,Kč
