"Ukazatel","IndicatorType","Území","Uz0","Měsíce, roky","CASRMX","Hodnota"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2016","2016-02","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2016","2016-03","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2016","2016-04","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2016","2016-05","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2016","2016-06","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2016","2016-07","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2016","2016-08","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2016","2016-09","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2016","2016-10","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2016","2016-11","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2016","2016-12","0.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2016","2016","0.7"
