Ukazatel,IndicatorType,Počet obyvatel obce,VELSKUPOBC,Území-Stát,Uz023h22.STAT,Území-Kraj,Uz023h22.KRAJ,Území-Okres,Uz023h22.OKRES,Druh nemovitosti,REPRCENNEM,Roční a 3-letá období,CAS1R3R1,Hodnota
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Rodinné domy [Kč/m2],10302,2025,2025,48854
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Byty [Kč/m2],10602,2019,2019,28985
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Byty [Kč/m2],10602,2020,2020,35067
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Byty [Kč/m2],10602,2021,2021,42994
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Byty [Kč/m2],10602,2022,2022,51039
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Byty [Kč/m2],10602,2023,2023,49255
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Byty [Kč/m2],10602,2024,2024,52191
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Pardubický kraj,CZ053,,,Byty [Kč/m2],10602,2025,2025,58557
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Rodinné domy [Kč/m2],10302,2019,2019,28721
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Rodinné domy [Kč/m2],10302,2020,2020,30393
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Rodinné domy [Kč/m2],10302,2021,2021,35732
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Rodinné domy [Kč/m2],10302,2022,2022,41874
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Rodinné domy [Kč/m2],10302,2023,2023,40623
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Rodinné domy [Kč/m2],10302,2024,2024,46400
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Rodinné domy [Kč/m2],10302,2025,2025,47125
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Byty [Kč/m2],10602,2019,2019,28385
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Byty [Kč/m2],10602,2020,2020,32865
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Byty [Kč/m2],10602,2021,2021,39919
