"Ukazatel","IndicatorType","Počet obyvatel obce","VELSKUPOBC","Území-Stát","Uz023h22.STAT","Území-Kraj","Uz023h22.KRAJ","Území-Okres","Uz023h22.OKRES","Druh nemovitosti","REPRCENNEM","Roční a 3-letá období","CAS1R3R1","Hodnota"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","51134"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2025","2025","60281"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2019","2019","25415"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2020","2020","28661"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2021","2021","32743"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","29064"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2022","2022","38860"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2020-2022","2020-2022","33052"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2023","2023","36780"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2021-2023","2021-2023","35862"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2024","2024","39724"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2022-2024","2022-2024","38642"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2025","2025","43071"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2019","2019","21256"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2020","2020","23707"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2021","2021","30042"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2019-2021","2019-2021","25478"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2022","2022","36270"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2020-2022","2020-2022","30222"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2023","2023","33664"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2021-2023","2021-2023","33094"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2024","2024","36309"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","35543"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Byty [Kč/m2]","10602","2025","2025","41915"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2019","2019","25357"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2020","2020","28258"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2021","2021","32157"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","28891"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2022","2022","39170"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2020-2022","2020-2022","32690"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2023","2023","37968"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2021-2023","2021-2023","35857"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2024","2024","41870"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2022-2024","2022-2024","39885"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Rodinné domy [Kč/m2]","10302","2025","2025","45623"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2019","2019","19954"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2020","2020","23343"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2021","2021","30832"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2019-2021","2019-2021","25469"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2022","2022","36318"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2020-2022","2020-2022","30299"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2023","2023","33679"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2021-2023","2021-2023","33451"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2024","2024","36296"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","35567"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Ústecký kraj","CZ042","","","Byty [Kč/m2]","10602","2025","2025","42375"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Liberecký kraj","CZ051","","","Rodinné domy [Kč/m2]","10302","2019","2019","30149"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Liberecký kraj","CZ051","","","Rodinné domy [Kč/m2]","10302","2020","2020","34316"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Liberecký kraj","CZ051","","","Rodinné domy [Kč/m2]","10302","2021","2021","39535"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Liberecký kraj","CZ051","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","34746"
